aba	acostamento/berma
corante	pigmento/tinta/pintura/cor
corda	toa/fio/lã/cabo
coreografia	balé
corisco	trovoadas/trovão/relâmpago/raio
corpo	divisão/enchido/partículas/defunto/anatomia/cadáver/tropa/partícula/carne/companhia/massa
corporação	conglomerado/império
corredor	saguão/túnel/salão
corrente	rio/caminho
correspondência	cartão
correção	compensação
corrida	campanha
corte	bifsteque/filé/pernil/bife
cortina	reposteiro
cosmo	natureza
cosmético	maquiagem/maquilagem
costa	beira-mar/declividade/ribeira/barranco/descida/declínio/litoral/margem
costume	rito/cooperação/costumes/ritual/tradição/hábito
costumes	tradição/costume/hábito
costura	pontada
coxa	regaço/colo/joelho
creador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor
crença	doutrina/expetativa/convicção/premonição/religião/filosofia/intuição/expectativa/certeza/fé
crescimento	acréscimo/acumulação/pulo/cultura/salto
criado	manequim/secretário/secretária/modelo
criador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor
criança	bebé/criancinha/nenê/recém-nascido/bebê
criatividade	inovação/concepção/invenção
criativo	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor
criatura	cria/embriões/predadores/embrião/prole/filhote/presa
criação	natureza/inovação/invenção/arte
crime	infracção/infração/furto/roubo
crise	depressão/recessão/urgência/emergência
cristal	gelo/gema/pedra
criticismo	fogo/ataque
critério	normas/escala/padrões/norma/padrão
cronograma	horário
croqui	design/desenho
cruzado	feminista/manifestante/rebelde
crédito	comemoração
crítica	resenha/fogo/ataque
crítico	parecerista/revisor/leitor
crónica	biografia
crônica	biografia
cultivo	agricultura/pecuária
curativo	esparadrapo/penso/atadura/ligadura
curação	convalescência/recuperação
curso	orientação/seminário/moda/tendência/caminho
curva	arco
custo	portagem/cifra/tarifa/pedágio/comissão/prejuízo/vermelho/entrada/perda/número
cálculo	estimativa/aproximação/ideia
cânabis	maconha
cão	cachorra/cachorro/cadela/loba/lobo/matreiro/raposa/raposa-vermelha/raposa
cédula	dólar
círculo	camarilha/disco
código	software/programa
cólera	fúria/ira/raiva
cónjuge	cônjuge/esposa/esposo/marido/varão/mulher/homem
cópia	replicação/réplica/reprodução
córrego	rio
cônjuge	esposa/esposo/marido/varão/mulher/homem
dado	hora
dano	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
dança	baile
debate	tramitação/negociação/conversa/discussão
debilidade	exposição
decepção	frustação/derrota/frustração
deceção	frustação/derrota/frustração
decisão	intercorrência/opção/alternativa/eleição/escolha/julgamento/resolução
declaração	anunciação/aval/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/promessa/proposição/asserção/estimativa/orçamento/compromisso/explicação/fórmula/termo/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação
declive	declividade/ribeira/barranco/descida/declínio/margem
declives	declividade/gradiente/ribeira/barranco/descida/declínio/margem/inclinação
declínio	destroço/ruína
decoração	laço/ornamento/banda/faixa
decreto	interdição/proibição
dedo	polegar/índex/artelho/indicador
dedução	símile/analogia
defeito	flaw/nódoa/pinta/cicatriz/lunar/falha/marca/mancha/sinal/erro
defensor	bombeira/bombeiro/bombeiros/bombeiro/porta-voz/representante/guarda
deferência	estimação/apreciação
defesa	escusa/desculpa/álibi
deficiência	deficit/penúria/escassez/fome/falta/carência
defunto	enchido/cadáver/corpo
deletamento	censura
deleção	censura
delicadeza	favor/gentileza
delito	infringemento/violação
demanda	sinistro/consumo/sinistro
demonstração	desempenho/performance/interpretação/apresentação
demora	extensão
denominação	título
densidade	concentração
dentina	marfim
dependência	confiança
depressão	baixada/vale
depósito	armazenamento
desacordo	querela/controvérsia/discordância/disputa/discussão
desafiante	campeão
desafortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
desapontamento	frustação/derrota/frustração
desastre	avaria/ruína/queda
descendente	criança/filho/menino
descendência	criança/filho/menino/família
descenso	queda
descida	queda
desconsideração	esnobada/desprezo
desejo	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia
desempenho	magia/ilusão/truque
desenho	design/diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/reflexão/figura/ilustração/modelo/plano
desenvolvimento	progresso
desespero	resignação
desgosto	amargura/tristeza/dor/pesar
designação	nomeação
desistência	imunidade
deslocamento	vacilação/migração/precipitação/regresso/retorno
desonra	ignomínia/desgraça/vergonha
desordem	comoção/bagunça/zona/confusão
desportista	corredor
despotismo	monarquia
desrespeito	descaramento/impertinência/insulto/abuso/insolência/injúria
destacamento	escolta/patrulhe/guarda-costas/patrulha/ronda/guarda
destinatário	herdeiro/beneficiário
destino	falhanço/falha
desvantagem	pegadinha/artifício/truque/limitação
desventurado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
determinação	diligência
dever	incumbência/serviço
dia	anoitecer/efeméride/aniversário/feriado/véspera/data/tarde/noite
diapsida	ofídio/serpente/cobra
didáctica	aula/curso
dieta	cardápio/menu
diferenciação	demarcaçao/demarcação
dificuldade	merda/problema/obstáculo
dimensão	anchura/largura
diminuição	disconto/desconto/abatimento/corte
dinheiro	cache/numerário/troco/divisa/capital/moeda/fundo
direcção	moda/tendência
direito	admitância/acesso
direção	indicação/moda/tendência
discernimento	epifania/insight/lampejo
disciplina	engenharia/tecnologia/arquitetura/teologia/ciência/arquitectura/controle
disco	ponto
discordo	querela/controvérsia/discordância/disputa/discussão
discordância	querela/confrontação/controvérsia/confronto/disputa/discussão
discrepância	querela/controvérsia/discordância/disputa/discussão
discurso	pregação/preleção/prédica/palestra/sermão/fala/linguagem/idioma/língua
discussão	tramitação/negociação/controvérsia/debate/conversa/disputa
discórdia	querela/confrontação/controvérsia/confronto/discordância/disputa/discussão
disfarce	máscara
dispositivo	acendedor/arapuca/encosto/engenhoca/filtros/gadget/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
disposição	otimismo/ambição/aspiração
disputa	controvérsia/discussão
distribuidor	retalhista/varejista/negociante
distribuição	carteamento/carteio
districto	empreendimento
distrito	empreendimento
ditado	lemas/mote/cambial/lema
ditadura	monarquia
diversão	entretenimento/esporte/hobby/celebração/entreterimento/festividade/passatempo/divertimento/festa/jogo
divisa	cache/cêntimo/numerário/centavo/capital/moeda/dinheiro/fundo
divisão	cisma/cisão/dissidência/parcela/parte
divisória	muro/parede
diálogo	conversação/conversa
doador	dador
doação	contributo/galardão/prémio/caridade/prêmio/ajuda/presente
dobro	dublê/substituto
doce	pudim
docente	instructor/preceptor/tutor
documentação	atestado/certidão/copyright/escritura/foro/fretamento/certificado/cédula/formulário/patente/reporte/relato/relatório/estudo/instrumento/renúncia
documento	atestado/certidão/copyright/escritura/foro/fretamento/missiva/certificado/cédula/formulário/patente/reporte/relato/relatório/carta/registro/estudo/instrumento/renúncia
documentos	alínea/diários/ensaios/parágrafo/documentação/documento/manuscrito/versão/diário/ensaio/literatura
doença	doenças/tumores
dom	galardão/prémio/prêmio/ajuda/presente
domicílio	vivenda/habitação/casa
dominancia	supremacia/monopólio/domínio
doméstico	ama/arrumadeira/camareira/criada/empregada
domínio	empreendimento/supremacia/engenharia/monopólio/tecnologia/arquitetura/teologia/ciência/arquitectura
dor	desgosto/tormento/amargura/tortura/martírio/agonia/tristeza/pesar
dose	comprimido/pílula
doutor	cirurgião
doutrina	credo
dr.	cirurgião
drama	tragédia/comédia
droga	medicamento/remédio
drupa	ginja/cereja
ducto	canudo/escoadouro/tubo
dupla	casal
duração	prolongamento/reinado/continuação
duto	canudo/escoadouro/tubo
dádiva	galardão/prémio/prêmio/ajuda/presente
débito	empréstimo/crédito
dígito	artelho/zero/dedo/número
dívida	débito/dívidas/empréstimo/crédito
dívidas	empréstimo/crédito
dúvida	receio/desconfiança
edificação	fabricação/construção
edifício	escolas/estádio/plantel/sacada/torres/varanda/vivenda/alojamento/altar/estufa/hall/hotel/letreiro/pavimento/piso/placar/ponte/prédio/restaurante/roque/torre/varanda/arena/balcão/cruz/dormitório/monumento/monumentos/viveiro/painel/abrigo/biblioteca/colégio/departamento/habitação/ruína/salão/centro/escola/placa/casa/andar
edição	referência/livro
educacionista	instrutor/docente/mestre/professor
educador	instrutor/docente/mestre/professor
educação	aula/conferência/lição/experiência/curso
efeito	efeitos/impacto/influência/tentação/produto
efetuação	jeito/modo/maneira/ferramenta/meio/caminho
electrodoméstico	aspirador/aspiradordepó
elegância	estilo
eleição	cabimento/default/possibilidade/padrão
elemento	destaque/realçe
eletrodoméstico	aspirador/aspiradordepó
elevação	montanhas/morro/barranco/colina/montanha/ladeira/monte
elipse	círculo
elite	poucos
elogio	recomendações/recomendação
embalagem	penca/molho/fardo/feixe/pacote
embaraço	misterio/mistério/dilema
embarcação	batel/iate/bote/escaler/barco
embarcações	batel/iate/bote/escaler/barco
emblema	bandeira/numeral/pendão/bandeira/vareta/estandarte/pavilhão/águia/símbolo/selo/número
embrulho	valise/mala
emissão	telejornais/episódio/notícias/radiações/radioactividade
emissões	radiações/radioactividade
emoção	abalo/dor/langor/zanga/ardor/comoção/desespero/apetite/consternação/espírito/ira/pretensão/angústia/anseio/cólera/prazer/sentimento/temor/apatia/raiva/terror/esperança/humor/medo/paixão/sensibilidade/vergonha/alegria/desejo/dor
empenho	batalha/dificuldade/luta
empobrecimento	indigência/privação/miséria/pobreza
empregado	aeromoço/ama/arrumadeira/balconista/caixeiro/camareira/criada/tafeiro/empregada
emprego	biscate/chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/rito/cargo/laboratório/oficina/ofício/ritual/vocação/sítio/arte/profissão/ocupação/costume/fazenda/hábito/trabalho/posição
empresa	agencia/transportação/turismo/agência/aventura/empresas/franquia/indústria/manufatura/transporte/distribuidor/expedição/cadeia
empresas	conglomerado/editora/império
empresário	barao/contabilista/homemdenegócios/magnata/mercador/contador/controlador/dono/negociante/comerciante/proprietário
empório	supermarket/supermercados/supermercado
encabeçamento	manchete
encargo	portagem/pedágio/comissão/entrada
encendedor	fósforo
encepamento	seleção
enchidos	cachorro-quente/salsicha
enchimento	almofada
encolhimento	psicanalista/analista
encontro	sessão/compromisso/visita
encosta	declividade/ribeira/barranco/descida/declínio/margem
encosto	degrau/pedestal/prateleira/estante/suporte/barra/pé/base
endereço	domicílio/residência/casa
enfermaria	manicomio/asilo
enfermidade	doenças/tumores/doença
engano	distorção/omissão/ilusão/fantasia/confusão/erro
engenharia	informática
engrenagem	transmissão
enredo	ação
ensaio	relatório
ensaios	relatório/ensaio
ensinamento	aula/curso
ensino	aula/conferência/lição/curso
enterro	inumação/sepultamento/funeral/sepultura
entorno	habitat/cenário
entorpecente	medicamento/remédio
entrada	inscrição/matricula/matrícula/registro/arco
entregador	carteiro/correio
enumeração	censo/recenseamento/contagem
enunciado	brado/chamada/grito
envolvente	habitat/cenário
epicarpo	caroço/endocarpo
epifania	descoberta/achado
episódio	drama
equino	égua/cavalo
equipamento	acendedor/arapuca/encosto/engenhoca/filtros/gadget/reactor/reactores/satélites/sensor/aparato/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/satélites/aparelho/satélite/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
equídeo	égua/cavalo
equívoco	distorção/omissão/confusão
era	reinado/idade/época/reino/período
erro	distorção/omissão/confusão
erudito	alumnus/dr./filósofo/historiador/historiografo/ph.d./cronista/dr./graduado/doutor
erva	grama/relva/maconha
ervas	grama/relva
esboço	design/desenho
escada	escadademão/escadas
escadaria	escadas
escadas	escadademão/escada
escaler	balsa
escapatória	escapada/escape/fuga
escape	escapada/fuga
escassez	penúria/fome/falta/carência
escol	poucos
escolha	cabimento/default/votação/eleição/possibilidade/voto/padrão/intenção
escopo	espectro
escritor	ghost-writer/ghostwriter
escritório	matriz/sede/base
escultura	estatua/estátua/bronze
escândalo	freneticidade
esfera	orbe/pérola/gota/bola/domínio
esforço	batalha/dificuldade/luta
esparadrapo	gesso
espaçamento	distância/equilíbrio/proporção/formação
espaço	pé-direito/vacância/ângulo/ângulos/estacionamento/vaga/vácuo/vazio
especialista	alumnus/dr./expert/experto/filósofo/historiador/historiografo/louvado/ph.d./terapeuta/cronista/decorador/desenhador/dr./graduado/investigador/doutor/experiente/perito/curandeiro/autoridade
espectador	espetador/telespectador/observador
espectáculo	película/cinema/filme/emissão/atração/produção/programa
esperança	antecipação/expectativa
espirito	deidade/deidades/divinidade/fada/fadas/deus/deusa/divindade/anjo/espírito/deus/alma/fantasma
espião	espiã
esposa	dona-de-casa/cônjuge/esposo/marido/varão/mulher/homem
esposo	cônjuge/esposa/marido/varão/mulher/homem
espécie	variante/versão
espécies	tipo/classe
espírito	embevecimento/enlevo/psiquê/êxtase/alma
esqueleto	calcanhar/espinhaço/espinha/costas
esquema	plano
estabelecimento	academia/caridade
estacada	sebe/sebes
estado	ascendencia/circunstâncias/desemprego/nacionalidade/prontidão/recontro/sina/status/ambiência/delinquência/dominancia/inimizade/integridade/melhora/preservação/relacionamento/superioridade/hierarquia/motivação/rapidez/saúde/confronto/conflito/conforto/hostilidade/melhoria/necessidade/ar/atmosfera/bagunça/culpa/destino/liberdade/perigo/preparação/situação/condição/emprego/posto/segurança/sorte/carência/tensão/conexão/controle/relação/domínio/meio/serviço/ordem/ligação/classe/posição
estandarte	bandeira
estande	barraquinha/barraca
estatística	média/norma
estação	estio/inverno/outono/primavera/verão/colheita
estilo	moda/fala/moda
estimulante	anfetamina/anfetaminas/coice
estimulantes	anfetamina/anfetaminas
estipêndio	portagem/pedágio/comissão/entrada
estrada	autoestrada/escadaria/alameda/auto-estrada/escada/passadeira/via/rodovia/órbita/rua/trilha/boca/faixa/entrada/caminho
estrato	proletariado
estratégia	complô/conspiração
estrela	planeta
estrutura	estádio/rack/sacada/torres/varanda/alojamento/altar/infraestructura/infraestrutura/letreiro/pavimento/piso/placar/ponte/prédio/roque/torre/varanda/arena/balcão/cruz/infra-estrutura/monumento/monumentos/prateleira/calendário/edifício/painel/abrigo/esquema/placa/plano/casa/andar
estudante	ouvinte/pupilo/aluno
estudioso	alumnus/dr./filósofo/historiador/historiografo/ph.d./cronista/dr./graduado/doutor
estupefação	estupor/choque
estímulo	coice
estória	enredo/mito/apólogo/boletim/argumento/lenda
estúpido	tolo/bobo/imbecil/idiota
etapa	centúria/decênio/década/fim-de-semana/sazão/século/séculos/manhã/mês/noitada/século/estágio/semana/continuidade/trimestre/fase/tarde/duração/era/estação/idade/época/ano/noite/tempo/período
eudemonismo	bem-estar/saúde
evento	contágio/spillover/acção/feito/milagre/infecção/ato/ação
evidência	sintoma/indício/sugestão/confirmação/identificação/trilha/pista/prova
exactidão	exatidão/precisão/rigor
exatidão	precisão/rigor
excerto	recorte/frase/citação
excesso	redundância/repetição
excitamento	sensação
excitação	sensação
exclusão	censura
excremento	pipi/urina/xixi
excreção	pipi/urina/xixi
excursão	vôo
excêntrico	aloprado/maluco
executivo	ministro
execução	jeito/modo/maneira/ferramenta/meio/caminho
exemplo	mostra/apoteose/precedente/excepção/exceção/amostra/molde/padrão/modelo
exercício	revisão/ensaio
exibição	quermesse/carnaval/feira/exposição
existência	presença/vida
exoneração	reabilitação
expatriado	refugiado/refugiados
expectativa	esperança
expedição	safari/safári/frete/exploração
experimento	ensaio/prova/experiência
experiência	augúrio/agouro/presságio/realidade/ensaio/mundo/prova
expert	decorador/desenhador
experto	decorador/desenhador
explanação	definição/porquê/razão
explicação	definição/porquê/razão
expoente	logaritmo/logarítmo
expressão	brado/lemas/mote/cambial/chamada/grito/lema
extensão	anchura/comprimento/escopo/largura/longitude/alcance/órbita/área
extorsão	chantagem
extrato	recorte/frase/citação/contabilidade/conta
extremo	vértice/topo
extremos	vértice/topo
face	superior/topo/fundo
faceta	sector/setor
facto	detalhe/observação
factura	conta/nota
facturas	conta/nota
faculdade	atenção/vontade/sentido/memória/concentração
facção	direita
faiença	xícara/chávena/louça/taça/prato
faixa	alcinha/alça/coleira/arco
fala	tom
falha	distorção/equívoco/omissão/engano/confusão/erro
fallout	queda
falsidade	mentirinha/contradição/conto/mentira/história
falta	penúria/ausência/escassez/fome/carência
fama	caráter/nome
família	casal/casamento
fanático	chauvinista
faqueiro	garfo/colher
fardo	pacote
farinhas	arroz/cereal/milho
fascículo	nervo/nervos/nervo
fase	alcance
fato	acção/feito/milagre/ato/ação
fator	parâmetros/parâmetro
fatura	conta/nota
fazedor	fabricante/produtor
fazenda	lacticínios/lanígero/leitaria/leiteria/mercearia/rancho/veludo/granja/herdade/importação/lona/roça/seda/terras/algodão/lã/mercadoria/renda/produto/artigo
feira	empório/mercado/mercadinho/quitanda/sacolão/supermarket/supermercados/supermercado/mercado
feito	critica/parto/juízo/rejeição/recuperação/julgamento/partida/produção
feixe	fardo/pacote
feição	disposição/atividade
felino	gato
felídeos	gato
fenda	greta/racha/ranhura/fresta/fissura/buraco
fenómeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/resultado/fim
fenômeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/resultado/fim
feriado	domingo
ferida	corte
ferimento	corte
fermentação	cerveja
ferramenta	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/lima/satélites/sensor/aparato/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/lixa/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/satélites/aparelho/armamento/bastão/martelo/pau/satélite/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/instrumento/barra/rede
ferrovia	metrô/metropolitano/metro
festa	boda/cerimónia/funeral/boda/enterro/festival/funeral/cerimônia/recepção/casamento
festividade	festival
fezes	pipi/urina/xixi
fiasco	solecismo/gafe
ficcionismo	romance
ficção	romance
fidelidade	lealdade
fiduciário	curador
figura	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/reflexão/ilustração/modelo/plano/desenho
figurinha	rei
fila	filaúnica/umapósooutro/bicha
filho	bebé/criancinha/nenê/recém-nascido/criança/bebê/menino
filosofia	etica/credo/ética
fim	demolição/efeitos/placar/destruição/impacto/influência/pico/desolação/destino/ponta/vitória/efeito/produto/resultado
final	demolição/empate/placar/destruição/pico/desolação/destino/ponta/vitória/resultado
financiador	inquilino/locatário/contribuinte
fio	toa/corda/cabo
firmeza	auto-controle/determinação
fisioterapia	reabilitação
fissura	fenda
fita-cola	diaquilão
flanco	base
flora	vegetação/jardim
fluido	líquido
fofoca	boato/diz-que-diz-que/rumor/fama/renome
folha	lauda/escudeiro/página
folhagem	folha
folhas	lauda/escudeiro/espinafre/página
formação	alcantilado/cavernas/oca/penhasco/cordilheira/falésia/fila/furna/gruta/grutas/praia/caverna/declive/declives/serra/subida/aula/depressão/encosta/costa/ladeira/crista/nascente/bicha/linha/curso
formulário	questionário
fornada	bolo/pão
forragem	feno/relva
forragens	feno/forragem/relva
fortaleza	castelo
fortificação	castelo
força	impulso/protesto/tumulto/reação/vigor/impulso/atração/energia/compreensão
fossa	trincheira
foto	plano
fotografia	reflexão/plano
frade	irmão
fragmento	apara/mínimo/porção
frango	galinha
freguês	assinante/subscritor/leitor
frei	irmão
frente	fachada/frontispício
fresta	ranhura/fenda
fricção	tracção/tração
frigorifico	frigoríficos/geladeira/refrigerador
frigorífico	frigoríficos/geladeira/refrigerador
frigoríficos	geladeira/refrigerador
fronteira	acostamento/berma/delimitação/itinerário/itinerários/percurso/rota/contorno/horizonte/superfície/margem/linha/curso/borda/estrada/caminho/limite
fronteiras	delimitação/contorno/superfície/borda/fronteira/limite
frugalidade	economia
fruta	figo/noz/tâmara/baga/banana/maçã/noz/fruto/ginja/morango/cereja/semente
fruto	morango/semente/fruta
fuga	escapada/escape
funcionário	diplomata/magistrado/embaixador/jurista/juiz/servidor
fundo	orçamento/depósito/base
funeral	inumação/sepultamento/enterro/sepultura
fungo	micetes/bolor/mofo
fungos	micetes/bolor/mofo
função	biscate/cargo/ofício/vocação/arte/profissão/ocupação/emprego/trabalho/posição
furto	roubalheira/roubo/assalto
futebol	râguebi/rúgbi
futebolista	goleiro/guarda-redes
fábrica	casademoinho/cervejaria/manufatura/usina
fé	doutrina/expetativa/convicção/religião/filosofia/expectativa/certeza
fêmea	garotinha/guria/menininha/meninota/mocinha/menina/garota/moça/rapariga/mulher
física	electrónica/eletronica/eletrónica/eletrônica
gado	vaca
gafe	solecismo
galardão	condecoração/medalha/diploma/troféu/prémio/prêmio/grau
galeria	túnel
galinha	peru/frango/galo
galo	galinha
gama	banda
garantia	aval
gastrópodes	caracol/caramujo
gato	leão/leopardo/tigre/onça
geek	aloprado/maluco
geladeira	frigoríficos/refrigerador
gema	diamante
general-de-exército	general
genitor	progenitora/papai/papá/painho/progenitor/pai/mãe
gente	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/população/pessoal/povo/classe
gentileza	favor
gerente	gestor/director/dirigente/administrador/diretor
gestos	gesto
gestão	finança/tratamento
ginete	jóquei/jóqueis/joquei
gleba	tapera/campos/deserto/parque/praça/gramado/locação/lote/sítio/terreno/campo/lugar
glóbulo	borbulha/bolha
glória	recomendações/recomendação
golpe	murro/porrada/soco
gordura	lípidos/óleo
gosto	predileção/sabor/sabor/admiração/preferência/tendência
gota	lágrima
governador	monarca/suserano/soberano
governante	monarca/suserano/soberano
governação	legislação
governo	legislação/corte
gradiente	ladeira/inclinação
grafema	asterisco/caracter/caractér/carácter/maiúscula/letra/espaço
gramínea	grama/relva
gramíneas	grama/relva
grandeza	amplidão/tamanho/dimensão/medida/proporção/magnitude/grau/extensão
granja	lacticínios/leitaria/leiteria/mercearia/rancho/herdade/roça/terras/fazenda
grau	calibre/alcance/extremo/qualidade
gravação	video/vídeo/vídeos/vídeo/fita
gravidade	queda
gravitação	queda
greta	fenda
grupo	assentamento/colecção/constituintes/eleitores/júri/votantes/camarilha/colônia/coleção/linhagem/aglomeração/júri/público/raça/universidade/acúmulo/população/gente/pessoal/sistema/organização/povo/classe
gráfico	esquema
guarda	bombeira/bombeiro/bombeiros/detective/sentinela/bombeiro/vigília/detetive/policial/tira
guardião	bombeira/bombeiro/bombeiros/bombeiro/guarda
guerreiro	guerrilha/guerrilheiro
guião	diálogo
gás	oxigénio/oxigênio/ar/atmosfera
género	variante/versão/tipo/classe
habilidade	alfabetismo/alfabetização/especializado/metodo/método/perícia/facilidade/métodos/aptidão/competência/meta/especialidade/técnica/arte/inteligência/capacidade/conhecimento/controle/talento
habitante	aldeã/aldeão/ocupante/morador/residente
habitação	bangalô/casinha/casinhola/vivenda/cabana/chalé/choça/dormitório/casa
hardware	memória
harmonia	consenso/acordo
herança	instrução/formação/experiência
hesitação	aversão
heterogeneidade	diversidade
hidrocarboneto	benzina/gasolina
hierarquia	gradação/nível/posto/grau/segundo/classe
himenópteros	formiga/formigas/abelha/vespa
hiperpigmentação	bronzeado
hipótese	fundação/teoria/base
história	enredo/mentirinha/mito/apólogo/argumento/conto/lenda/mentira
hoje	momento
homem	cavalheiro/garoto/moço/rapaz/senhor/menino
homemdenegócios	barao/magnata/dono/proprietário
homicídio	assassínio/sacrificio/suicídio/auto-destruição/sacrifício/assassinato/massacre
hominídeo	humano
honestidade	justeza/integridade/honra/justiça
honra	caráter/celebridade/fama/glória/renome/nome
hora	alvorada/feita/meia-noite/anoitecer/aurora/madrugada/amanhecer/crepúsculo
horas	turno
hortaliça	aboboreira/jerimum/pepineiro/pepino/abóbora
hortifruti	verdura/hortaliça/legume/vegetal
hortifruto	verdura/hortaliça/legume/vegetal
hospital	manicomio/asilo
hostilidade	violência/tensão/força
hotel	albergaria/resort/albergue/hospedaria/pousada
humor	bazófia/cartoon/caçoada/chiste/embevecimento/enlevo/sarcasmo/sátira/caricatura/gracejo/brincadeira/ironia/piada/êxtase/graça
hábito	rito/cooperação/costumes/ritual/tradição/costume
idade	maioria/reinado/era/época/reino/período
ideia	mainstream/premonição/regulamento/atributo/intuição/noção/categoria/consideração/norma/possibilidade/soma/característica/idéia/suposição/teoria/lei/quantidade/regra/hipótese/reflexão/propriedade/qualidade/família/número/classe
identificação	diagnose/diagnóstico
idioma	lemas/locução/mote/cambial/conversação/encantamento/feitiço/lema/linguagem/provérbio/ditado/expressão/conversa/língua
idiota	tolo/bobo/imbecil/estúpido
idéia	projecto/conceito/premonição/regulamento/atributo/intuição/noção/categoria/concepção/norma/possibilidade/programação/soma/característica/suposição/tema/teoria/lei/motivo/projeto/quantidade/regra/hipótese/preocupação/propriedade/qualidade/família/ideia/intenção/programa/plano/número/classe
igreja	mesquita/mesquitas/catedral/igrejas/templo
igrejas	catedral
igual	contemporâneo
igualdade	balanço
iluminação	trevas/escuridão
ilustração	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/reflexão/figura/modelo/plano/desenho
imagem	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/reflexão/figura/ilustração/modelo/plano/desenho
imaginação	visão/sonho
imobiliária	terras/fazenda
impedimento	interferencia/atrapalhação/obstáculo
imperfeição	flaw/defeito/falha/erro
implementação	jeito/modo/maneira/ferramenta/meio/caminho
implemento	brocha/escova/furadeira/gancho/pincel/bastão/pau/vara/agulha/instrumento/barra/ferramenta
importância	tonicidade/ênfase/acento
imposto	colectas/impostos/taxação/taxa/tributo
imprensa	periódico/jornal/folha
impressor	impressora
impressão	abalo/dor/langor/ruga/sulco/ardor/comoção/desespero/premonição/apetite/intuição/pretensão/angústia/anseio/emoção/prazer/sentimento/apatia/edição/esperança/humor/paixão/sensibilidade/vergonha/abertura/desejo/fissura/dor/fenda
imprevidência	desperdício
impulsão	pontaria/tiro
imunodeficiência	aids/sida
imóvel	terras/fazenda
incentivo	dividendo
incerteza	receio/desconfiança/dúvida/questão
incidente	contágio/spillover/infecção
inclinação	gradiente/ladeira
incompatibilidade	conflitos/conflito
incremento	acréscimo/acumulação
independência	autonomia
indicação	indício/sugestão/identificação/pista
indiferença	desapego/afastamento
indivíduo	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
industria	transportação/turismo/aventura/indústria/manufatura/transporte/expedição
indício	signo
indústria	aviação
inferência	símile/analogia
influência	compreensão
informação	curricula/divulgação/ementa/formatação/propaganda/currículo/notícia/circunstância/formato/instância/notícias/propaganda/consideração/evidência/familiaridade/fato/matriz/matéria/segredo/conhecimento/exemplo/apresentação/representante/programa/artigo
infortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
infortúnio	lástima/adversidade/calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre/pena
infra	rack/prateleira
ingresso	inscrição/matricula/matrícula/registro
inimizade	tensão
inquérito	enquête/indagação/quesito/sindicância/interrogação/pergunta/desafio/investigação/pesquisa/questão
insectívoros	topeira/toupeira
inserção	injeção
insight	descoberta/achado
insolvência	bancarrota/falência
instalação	calefacção/aquecimento/calefação
instante	saída/prazo/início/começo/princípio/momento/segundo
instituição	caridade
instituto	caridade
instrumentalista	cantador/cantor/vocalista
instrumentista	cantador/cantor/vocalista
