abadia	monastério/mosteiro/convento
conglomerado	corporação/empresas
congressista	legislador
congresso	legislatura
conhecida	alguém/indivíduo/alma/pessoa
conhecido	alguém/indivíduo/alma/pessoa/relação/ligação
conhecimento	informação/habilidade
conjectura	opinião
conjunto	parafernália
conjuração	complô/conspiração
conquista	acção/atividade/ato/ação
consciência	morais/moralidade/ética/moral
conscrição	mobilização
conselheiro	autoridade
conselho	junta/comissão/comité/comitê/mensagem/proposta/tópico/assunto/conteúdo
consenso	acordo/concórdia/aplauso/harmonia/paz/conformidade/aprovação/acordo
consentimento	aplauso/aprovação
consequência	fenómeno/fenômeno
conseqüência	fenómeno/fenômeno
conserva	conservas
conservação	preservação
consideração	ideia/amabilidade/informação/conhecimento
consolação	socorro/ajuda/assistência
consolo	socorro/ajuda/assistência
consorte	parente/cara-metade
conspiração	complô/planos/táctica/estratégia
consternação	abalo/comoção/emoção/sentimento/temor/terror/medo
constituintes	comunidade/grupo
constituição	leis/atributo/lei/propriedade
construção	edificação
consulta	conferência
consultor	autoridade
consumidor	utente/utilizador/usuário
consumo	demanda/pedido/atividade
conta	extrato/factura/facturas/fatura/contas/requerimento/requisição/solicitação/pedido/petição/apelo
contabilidade	extrato
contabilista	empresário
contacto	comunicado/comunicação
contador	empresário
contagem	enumeração/conta
contato	interação/comunicado/comunicação
contemporâneo	pário/igual/par
contenda	concorrência/competição
contentores	contentor/contêiner/recipiente
contestação	concorrência/competição
contexto	ambiente
conteúdo	volume/coisa
continuação	duração
continuidade	etapa/tempo/período
conto	falsidade/mentira/história
contorno	fronteiras/fronteira/limite
contra-senha	arcano/segredo
contradição	falsidade/mentira
contraposição	oposição
contraste	oposição
contribuinte	pagante/remunerador/financiador
contributo	doação
controlador	empresário
controle	estado/situação/condição/estado/modalidade/disciplina/habilidade
controvérsia	querela/discordância/disputa/discussão/desacordo/discordo/discrepância/discórdia/discordância
contrário	oposição
contágio	incidente/evento
convalescência	curação
convento	claustro
convenção	ortodoxia/reunião
conversa	conversação/diálogo/debate/idioma/discussão
conversação	diálogo/conversa/idioma
convicção	crença/fé/opinião
convidado	visitante/visita
convite	missiva/carta/requerimento/requisição/solicitação/pedido/petição/apelo
convivência	relação/ligação
convulsão	ataque
convés	palanque/tablado/tribuna
cookie	bolo
cooperação	costume/hábito
copas	baralho/carta
copo	contentor/contêiner/recipiente
copyright	documentação/documento
cor	semblante/aspecto/camada/capa/aparência/colorante/corante/tinta
coragem	ânimo
coração	premonição/intuição/centro/víscera
corda	fio/linha
cordilheira	formação
corpo	defunto/cadáver/morto/anatomia
corredor	atleta/desportista
correio	mensagem/comunicado/entregador/comunicação
correios	comunicado/comunicação
correlação	reciprocidade
corrente	ligamento/acção/água/atividade/ato/ação
correspondência	transporte/transferência
corretude	justeza/justiça
correção	melhoramento/melhoria
corrida	certame/concurso/competição/torneio/partida/jogo
corte	autoridades/ferida/regime/ferimento/lesão/redução/governo/diminuição/penteado/assembleia/assembléia
cortejamento	súplica/petição/apelo
cortesia	civilidade/polidez
cortina	mobília/mobiliário/móvel
costa	orla/litoral/formação
costas	esqueleto
costela	osso
costume	tradições/costumes/tradição/hábito/atividade/ocupação/emprego/hábito
costumes	tradições/tradição/costume/hábito
costureiro	creador/criador/criativo
cota	alocação/atribuição
cotação	afirmação/declaração
coxa	membro/perna
coxim	almofada
cozinha	aposento/quarto/sala
credibilidade	qualidade
credo	doutrina/filosofia
creme	lacticínio/laticínio
crepúsculo	hora
cria	criatura/animal/besta/bicho/ser
criada	doméstico/empregado/servidor
criado	trabalhador
criancinha	criança/filho/menino
criança	descendência/descendente/filho
criatura	organismo/ser
criação	atividade/ocupação
crime	transgressão
criquete	ortópteros
crise	ataque
crisma	confirmação/prova
crista	formação
cristal	vidro
critica	acção/feito/ato/ação
crivo	passador/coador
cronista	estudioso/erudito/especialista/acadêmico
cronograma	listagem/lista
cruz	edifício/tecido/estrutura
cruza	organismo/ser
cruzamento	junção
cruzeiro	viagem
crâneo	osso
crânio	osso
crédito	débito/dívida/dívidas/dívida/activos/ativos/bens/recursos/obtenção/pagamento/aplauso/ativo/recompensa/realização/aprovação
crítico	profissional
crónica	registro
crônica	registro
cuba	vasilhame/vasilha/vaso
cubeta	vasilhame/vasilha/vaso
cubo	sólida/sólido
cuidado	tarefa/trabalho
culpa	estado/situação/condição/estado/responsabilidade
cultura	ontogenia/ontogénese/atitude/crescimento/sociedade
cume	área/região
cura	pároco/sacerdote/clérigo/pastor
curador	fiduciário
curandeiro	especialista
curricula	informação
currículo	informação
curso	didáctica/ensinamento/ensino/pedagogia/educação/instrução/formação/acção/atividade/ato/ação/reunião/fronteira
curto-circuito	tangência
curva	segmento/seção/linha
curvas	linha
custo	preços/preço/qualidade
custos	preços/preço/qualidade
custódia	aprisionamento/confinamento
cálculo	planejamento/preparação
cão	canídeo
cédula	documentação/documento
célula	organismo/ser
céu	ar/atmosfera/região
cêntimo	divisa/peça/moeda/prata
círculo	elipse/oval
cólera	abalo/zanga/comoção/ira/emoção/sentimento/raiva
cómoda	alfaia/movéis/mobília/mobiliário/móvel
cónjuge	parente/cara-metade
cópia	afiguração/representação/imagem/figura/ilustração/desenho
córrego	água
cômoda	alfaia/movéis/mobília/mobiliário/móvel
cônjuge	cónjuge/consorte/esposa/esposo/marido/parente/companheiro/cara-metade
cúmulo	colecção/coleção/aglomeração/acúmulo
cúpula	telhado/teto/reunião
dador	doador
dama	mulher
dano	alteração/modificação/variação/mudança
data	dia
debate	conversação/conversa/oratória/discussão
declaracão	afirmação/declaração
declaração	afirmação
declive	formação
declives	formação
declividade	declive/declives/subida/encosta/costa/ladeira
declínio	declive/declives/subida/encosta/costa/ladeira
decorador	expert/experto/louvado/especialista/perito
decoração	artefato
decreto	ato
decréscimo	alteração/modificação/variação/mudança
decênio	etapa/tempo/período
dedicação	colaboração/cooperação
dedo	dígito
default	intercorrência/opção/alternativa/eleição/escolha
defeito	imperfeição
defensor	alguém/indivíduo/alma/pessoa
deficit	deficiência/carência
deficiência	necessidade/carência/quantidade/número
definição	explanação/explicação
defunto	cadáver/morto/corpo
degrau	encosto/apoio/suporte
deidade	espirito
deidades	espirito
delegada	representante
delegado	representante
delegação	organização
delfim	odontoceti/odontocetos
deliberação	planejamento/preparação
delimitação	fronteiras/fronteira/limite
delinquência	estado/situação/condição/estado
delphinidae	odontoceti/odontocetos
demanda	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
demarcaçao	diferenciação
demarcação	diferenciação
demissão	notificação/comunicação/aviso/nota
demolição	chegada/conclusão/resultado/fim/final
demonstração	argumento
denodo	ânimo
dente	osso/projeção
dentes	osso
dentista	médico
departamento	prédio/edifício
deportação	proscrição/banimento
depressão	crise/formação
deputado	legislador
depósito	matéria/capital/substância/fundo/colocação
derrame	ataque
derrota	deceção/desapontamento/decepção
desacordo	recontro/confronto/conflito
desafio	situação/condição/pergunta/inquérito/questão
desapego	indiferença/apatia
desastre	infortúnio/azar
descanso	almofada/interrupção/suspensão/pausa
descaramento	desrespeito
descendente	parente
descendência	parente/parentesco/relação
descida	declive/declives/subida/encosta/costa/ladeira
descoberta	epifania/insight/lampejo
desconfiança	incerteza/dúvida
desconto	redução/diminuição
descuido	maltrato
desculpa	defesa/justificação/reconhecimento
desdém	aversão
desejo	apetite/pretensão/anseio/emoção/sentimento/impressão
desempenho	acção/demonstração/atividade/ato/ação/apresentação
desemprego	situação/condição/estado
desenhador	expert/experto/louvado/especialista/perito/creador/criador/criativo
desenho	afiguração/croqui/esboço/representação/imagem/figura/ilustração
deserto	bioma/biomas/gleba/terreno/região
desespero	emoção/sentimento/impressão
desfastio	anseio
desfeita	conduta/comportamento
desfile	romaria/procissão
desgosto	mágoa/tristeza/dor/pesar
desgraça	desonra/vergonha
design	croqui/esboço/desenho
designer	creador/criador/criativo
desistência	renúncia
desjejum	repasto/refeição
desolação	chegada/conclusão/resultado/fim/final
despedida	partida
desperdício	imprevidência
despertador	relógios/relógio
desportista	competidor/contendor
desprezo	desconsideração/aversão
destaque	elemento/componente
destino	estado/fim/final
destroço	declínio
destruição	chegada/conclusão/resultado/fim/final
desvantagem	passivo/risco/responsabilidade
desvio	atividade/ação
detalhe	facto/verdade
detective	policial/polícia/agente/guarda
detenção	confinamento
determinação	firmeza
detetive	policial/polícia/agente/guarda
detrito	lixo/resíduo
deus	espirito
deusa	espirito
dever	tarefa/trabalho
diagnose	identificação
diagnóstico	identificação
diagrama	imagem/figura/ilustração/desenho
diamante	joia/jóia/gema
diamêtro	recta/reta
diaquilão	fita-cola
dicionario	vocabulário
dicionário	vocabulário
dicionários	vocabulário
didáctica	atividade/ocupação
dieta	jejum
diferença	número
dificuldade	empenho/esforço/qualidade/problema/obstáculo
dignidade	auto-estima/orgulho
dilema	aperto/perplexidade/embaraço
diligência	determinação/resolução
dimensão	grandeza/magnitude/número
diminuição	alteração/modificação/variação/mudança
dinheiro	cobre/divisa/moeda/possessão/riqueza/bem
diploma	prémio/prêmios/galardão/prémio/prêmio
diplomata	funcionário/serventuário
director	administrador/gerente
direita	facção/seita/local/lugar/posição
direito	justeza/justiça/título
diretor	administrador/gerente
direção	tendência/mensagem/tópico/assunto/conteúdo
dirigente	administrador/gerente
disciplina	conhecimento/saber
disco	círculo/placa
disconto	redução/diminuição
discordo	recontro/confronto/conflito
discordância	recontro/confronto/conflito/desacordo/discordo/discrepância/discórdia
discurso	mensagem/comunicação/comunicado/comunicação
discussão	querela/conversação/controvérsia/conversa/discordância/disputa/comunicado/desacordo/discordo/discrepância/comunicação/debate/discórdia/discordância
disparate	mensagem/tópico/assunto/conteúdo
disposição	feição/peculiaridade/índole/natureza
disputa	querela/controvérsia/discordância/discussão/oratória/desacordo/discordo/discrepância/conflito/discórdia/discordância/luta
dissertação	tratado
dissidência	divisão
distorção	equívoco/engano/falha/erro
distribuidor	empresa/companhia
districto	regiões/região
distrito	regiões/região/municipalidade/município
distância	espaçamento
ditado	idioma
diversidade	heterogeneidade
diversão	recreaçao
divertimento	recreaçao/diversão
dividendo	abono/bônus/incentivo
divindade	espirito
divinidade	espirito
divisa	cobre/moeda/dinheiro/moeda
divisão	corpo
divorcio	separação
divulgação	informação
divórcio	separação
diz-que-diz-que	bisbilhotice/bisbolhetice/fofoca
diálogo	conversação/conversa/script/guião/roteiro
diário	documentos
diários	documentos
diâmetro	recta/reta
doação	aquisição
dobro	múltiplo
doce	prato
docente	educacionista/pedagogo/educador
documentação	documentos/validação/verificação
documento	documentos
doença	enfermidade
doenças	enfermidade/doença
dom	aquisição
domicílio	endereço/alojamento/abrigo/casa
dominancia	estado/situação/condição/estado
domingo	feriado
domo	telhado/teto
domínio	ascendencia/regiões/dominancia/estado/superioridade/situação/condição/estado/região/controle/ambiente/esfera/conhecimento/saber
dona	mulher
dona-de-casa	esposa/mulher
dono	homemdenegócios/empresário/negociante/comerciante
dor	angústia/desgosto/emoção/mágoa/sentimento/sensação/tristeza/impressão/pesar
dormitório	aposento/prédio/edifício/quarto/sala/quartos/apartamento/moradia/habitação
dose	medicamento/remédio
doutor	estudioso/erudito/especialista/acadêmico/médico
doutrina	convicção/crença/fé/opinião
dr.	estudioso/erudito/especialista/acadêmico/médico
drama	episódio
dramaturgia	comunicado/comunicação
droga	agente
dublê	dobro/suplente
dupla	par/reunião
duque	lorde/nobre
duração	etapa/tempo/período
duto	cilindro
dádiva	aquisição
débito	dívida/obrigação
década	etapa/tempo/período
dívida	obrigação
dívidas	dívida/obrigação
dólar	papel-moeda/cédula/nota
dúvida	precariedade/incerteza
eco	reflectividade/reflexão
economia	sistema/organização/frugalidade
ecrã	superfície
edifício	tecido/estrutura/artefato
editora	empresas
edição	obra/publicação/impressão/trabalho
educação	pedagogia/atividade/ocupação
efeito	consequência/fenómeno/fenômeno/semblante/conseqüência/aspecto/resultado/fim/aparência
efeitos	consequência/conseqüência/efeito/resultado/fim
efeméride	dia
egoísmo	auto-estima/orgulho
eixo	mecanismo
electrão	lépton/léptons
electrónica	física
electrônio	lépton/léptons
elefanta	proboscídeos
elefante	proboscídeos
elefoa	proboscídeos
eleitor	cidadã/cidadão
eleitorado	população/gente/povo
eleitores	comunidade/grupo
eleição	votação/selecção/decisão/escolha/seleção
elemento	categoria/porção/componente/parte
elenco	organização/reunião
eletron	lépton/léptons
eletronica	física
eletrónica	física
eletrônica	física
elogio	aplauso/aprovação
eléctron	lépton/léptons
elétron	lépton/léptons
emanações	aerossol/aerossóis/neblina
embaixada	organização
embaixador	funcionário/serventuário
embalagem	colecção/coleção/aglomeração/acúmulo
embarcação	navio
embarcações	navio
embevecimento	espírito/humor
emblema	sinal
embrião	criatura/animal/besta/bicho/ser
embriões	criatura/animal/besta/bicho/ser
embrulho	colecção/coleção/aglomeração/acúmulo
emenda	afirmação/declaração
ementa	informação
emergência	crise
emissão	espectáculo/show
emoção	sentimento/impressão
empada	pastel
empate	final
empreendimento	circunscrição/comarca/districto/distrito/território/domínio
empregada	doméstico/empregado/servidor
empregado	trabalhador
empregador	líder/chefe
emprego	ofício/profissão/ocupação/função/serviço/trabalho/lugar/atividade/ocupação/situação/condição/estado
empresa	comercialismo/mercantilismo/comércio
empresas	empresa
empréstimo	débito/dívida/dívidas/dívida
empório	feira/mercado
encantamento	idioma
encendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
enchido	defunto/cadáver/morto/corpo
enchidos	vianda/carne
encontro	assembléia/reunião/convergência
encosta	formação
encosto	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
encruzilhada	junção
endocarpo	epicarpo
energia	violência/força
enfermeira	médico
enfermeiro	médico
enfermeiros	médico
enganação	artimanha/truque
engano	insucesso/falha
engenharia	disciplina/campo/domínio
engenheiro	alguém/indivíduo/alma/pessoa
engenhoca	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
engodo	tentação
engravidamento	transa/sexo
engrenagem	mecanismo
enlevo	espírito/humor
enquête	inquérito/investigação/pesquisa
enredo	estória/conto/história
ensaio	ensaios/prática/exercício/documentos/experimento/experiência/teste
ensaios	documentos
ensejo	fenómeno/fenômeno
ensinamento	atividade/ocupação
ensino	pedagogia/atividade/ocupação
enterro	cerimónia/funeral/funeral/cerimônia/festa
entorno	região
entorpecente	agente
entrada	estipêndio/encargo/remuneração/via/rodovia/taxa/custo/estrada/caminho/abordagens/mensagem/pagamento/tópico/assunto/conteúdo/acesso/recompensa/estrada/caminho
entretenimento	recreaçao/diversão
entreterimento	recreaçao/diversão
entrevista	interrogatório
entusiasmo	interesse
envelope	contentor/contêiner/recipiente
envolvente	região
envólucro	cobertura/capa
epifania	compreensão/discernimento/compreensão
episódio	emissão/programa
equilíbrio	espaçamento/situação/condição/posição
equipamento	ferramenta/apetrecho/instrumento
equívoco	insucesso/falha
era	etapa/século/idade/época/tempo/período
erro	imperfeição/insucesso/engano/mal-entendido/defeito/falha
erudito	intelecto/intelectual
erva	aromatizante/condimento/tempero
escada	escadas/via/estrada/caminho
escadademão	escadas/escada
escadaria	via/estrada/caminho
escadas	escadaria/escada
escala	critério/padrões
escaler	embarcações/embarcação/navios/navio/barco
escapada	escapatória/escape/fuga
escapatória	abertura
escape	escapatória/fuga
escassez	ausência/necessidade/deficiência/falta/carência
escavação	locação/sítio/lugar
escoadouro	tubulação/condutas/ducto/duto/canal
escola	prédio/edifício
escolas	prédio/edifício
escolha	decisão
escolta	destacamento
escopo	alcance/extensão
escorregador	brinquedo
escorrego	brinquedo
escova	implemento/instrumento/ferramenta
escrava	alguém/indivíduo/alma/pessoa
escravo	alguém/indivíduo/alma/pessoa
escrita	ortografia
escritor	comunicador
escritura	documentação/documento
escritório	aposento/quarto/sala
escrivaninha	mesa
escudeiro	folhas/folha
escudo	proteção/capa
escuridão	trevas/iluminação
escusa	defesa/justificação
escuta	investigação
escárnio	aversão
escândalo	problema
esdrúxulo	mutante/mutantes/mutação
esfera	ambiente
esforço	atividade/ocupação
esnobada	desconsideração
espada	armamento/arma
esparadrapo	atadura/curativo
espaçamento	colocação/localização/posição
espaço	grafema/letra/locação/localização/ponto/lugar
especialidade	vantagem/virtude/propriedade/recurso/bem/habilidade
especialista	alguém/indivíduo/alma/pessoa/intelecto/intelectual
especializado	habilidade
espectador	alguém/indivíduo/observador/alma/pessoa
espectro	escopo/psiquê/alcance/órbita/alma/área
especulação	opinião
esperança	emoção/expectativa/sentimento/impressão
espetador	espectador/observador
espinafre	folhas/vegetal
espinha	esqueleto
espinhaço	esqueleto
espiã	espião
esporte	recreaçao/diversão
esposa	cónjuge/consorte/cônjuge/esposo/marido/parente/companheiro/mulher/cara-metade
esposo	cónjuge/consorte/cônjuge/esposa/marido/parente/companheiro/cara-metade
espécie	taxon/taxón/táxon
espécies	taxon/taxón/táxon
espírito	abalo/comoção/emoção/sentimento/espirito
esqueleto	sistema
esquema	imagem/figura/gráfico/ilustração/desenho/afiguração/conceitualização/representação/estrutura/imagem/sistema/organização/figura/ilustração/desenho/ordem
esquerda	local/lugar/posição
esquife	caixa
estabelecimento	organização
estacada	barreira/obstáculo
estacionamento	espaço
estado	situação/condição
estandarte	bandeira/pendão/bandeira/pavilhão/naipe/emblema
estande	bancas/banca
estanho	metal/metais
estante	alfaia/encosto/movéis/mobília/apoio/mobiliário/móvel/suporte
estatua	escultura
estação	etapa/tempo/período
estilo	elegância/instrução
estimativa	cálculo/afirmação/declaração
estimação	deferência/respeito
estio	sazão/estação/tempo/período
estipulação	premissa/pressuposto
estirpe	taxon/taxón/táxon
estomago	víscera
estoque	mercadoria/produto/artigo
estrada	via/rua/fronteira/caminho
estrada-de-ferro	via
estrago	alteração/modificação/variação/mudança
estrangeira	turista/viajante
estrangeiro	turista/viajante
estrato	população/gente/pessoal/povo/região
estrela	astro
estrutura	artefato/atributo/propriedade
estudante	alguém/indivíduo/alma/pessoa
estudio	aposento/laboratório/oficina/quarto/emprego/sala/trabalho
estudioso	intelecto/intelectual
estudo	documentação/documento
estufa	prédio/edifício
estupefação	consternação/temor/terror/medo
estupor	estupefação
estádio	edifício/tecido/estrutura
estágio	etapa/tempo/período
estátua	escultura
estória	notícia/notícias/artigo
estômago	anatomia/víscera
estúdio	laboratório/oficina/emprego/trabalho
estúpido	matarruano/simplória/simplório/idiota
etica	filosofia
etiqueta	marcadores/marca/selo
eudemonismo	prosperidade/sucesso
evento	ocorrente/ocorrência/acontecimento
evidência	argumento/informação/conhecimento
exame	comunicado/comunicação/investigação
examinador	investigador
examinação	investigação
exatidão	exactidão/precisão
excedente	categoria/porção/componente/parte
excepção	instância/exemplo/representante
excerto	passagem
exceção	instância/exemplo/representante
excusa	reconhecimento
executivo	líder/cabeça/chefe/liderança/responsável
execução	acção/atividade/ato/ação
exemplo	líder/chefe/ocorrente/ocorrência/acontecimento/informação/conhecimento
exercício	treinamento/treino/preparação
exibição	apresentação
existência	ser
existências	acumulação
expansão	aumento
expectativa	convicção/crença/fé/opinião/esperança
expedição	industria/empresa/negócio/comércio
experiente	especialista
experiência	educação/instrução/experimento/herança/teste
expert	especialista
experto	especialista
expetativa	convicção/crença/fé/opinião
explanação	afirmação/declaração
explicação	afirmação/declaração
exploração	expedição
explosão	ruído
exposição	colecção/coleção/aglomeração/acúmulo/vulnerabilidade/exibição/vulnerabilidade/debilidade/apresentação
exposições	colecção/coleção/aglomeração/acúmulo
expressão	idioma
extensão	grandeza/magnitude/número/demora/adiamento/alcance/pausa
exterior	superfície
extrato	passagem
extração	ascendência/origem
extremo	grau
exílio	proscrição/banimento
fabricante	fazedor
fabricação	edificação/construção
face	superfície
faceta	característica/qualidade
fachada	frente
facho	luz
facilidade	habilidade
facturação	requerimento/requisição/solicitação/pedido/petição/apelo
fada	espirito
fadas	espirito
fadiga	nervosismo/tensão
faixa	ornamento/trilha/decoração/estrada/caminho
fala	linguagem/discurso/língua/estilo
falecimento	alteração/modificação/variação/mudança
falha	circunstâncias/sina/destino/sorte/imperfeição/insucesso/defeito
falhanço	circunstâncias/sina/destino/sorte
falsidade	mentira
falta	ausência/escassez/necessidade/deficiência/carência/responsabilidade
falésia	formação
falência	insolvência
fama	bisbilhotice/bisbolhetice/honra/fofoca
familiaridade	informação/conhecimento
família	conceito/concepção/idéia/ideia/sangue/descendência/linhagem
fantasia	apetite/pretensão/anseio/desejo/engano/mal-entendido/vestuário/traje/roupa/vestido
fantasma	psiquê/alma/espirito
farda	vestimenta/vestuário/traje/roupa/vestido
fardamento	vestimenta/vestuário/traje/roupa/vestido
fardo	penca/molho/feixe/pacote/embalagem/recipiente/pacote
farinha	alimento
farinhas	alimento
fase	etapa/tempo/período
fatia	tomo/secção/porção/pedaço/parte
fato	informação/vestuário/roupa
fator	causa
faturação	requerimento/requisição/solicitação/pedido/petição/apelo
fauna	vida
fava	legume/vegetal
favor	gentileza/delicadeza/amabilidade/bondade
fazenda	chácara/granja/quinta/laboratório/oficina/sítio/possessão/emprego/propriedade/trabalho/artefato/imobiliária/imóvel
fazendeiro	creador/criador/criativo
façanha	acção/atividade/ato/ação
febre	sintoma
federação	união
feijão	legume/vegetal
feira	exibição/mercado/apresentação/reunião
feita	hora
feiticeira	ocultista
feiticeiro	ocultista
feitiço	idioma
feito	acção/acontecimento/evento/fato/atividade/ato/ação
feixe	embalagem/recipiente/luz/pacote
feição	atributo/predicado/característica/propriedade
feminista	cruzado/reformador
fenda	greta/racha/fresta/fissura/vão/impressão
feno	forragens/forragem
feria	lazer/ócio
feriado	dia
ferida	traumatismo/dano/machucado/lesão/mal
ferimento	traumatismo/dano/machucado/lesão/mal
ferramenta	efetuação/aparato/apetrecho/dispositivo/implementação/implemento/aparelho/equipamento/mecanismo/execução/instrumento/realização
ferro	metal/metais
ferrovia	via
fervor	ardor/paixão
festa	acontecimento/recreaçao/diversão/jantar
festival	celebração/festividade/festa
festividade	recreaçao/diversão
fibra	materiais
fibras	materiais
ficante	camarada/companheiro/amigo/colega
ficheiro	registro
fichário	registro
figo	fruta
figura	afiguração/representação/imagem/ilustração/desenho
fila	bicha/linha/formação
filaúnica	fila/bicha/linha
fileira	bicha
filho	descendência/parente/descendente
filhote	criatura/animal/besta/bicho/ser
filiação	relação/ligação
filipeta	reclame/reclamo/propaganda/publicidade/anúncio
filme	espectáculo/objeto/show/bens/produto/produção
filosofia	convicção/crença/fé/opinião
filtro	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
filtros	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
filé	corte
filósofo	estudioso/erudito/especialista/acadêmico
fim	fenómeno/fenômeno/meta/alvo/objectivo/intenção/ocorrente/ocorrência/acontecimento
fim-de-semana	etapa/tempo/período
final	ocorrente/ocorrência/acontecimento
finalidade	meta/alvo/objectivo/intenção
finança	gestão/administração
fio	ligamento/corda
fissura	vão/impressão/fenda
fita	gravação/banda
flagelo	infortúnio/azar
flama	combustão
flash	candeia/lâmpada
flaw	imperfeição/defeito
flecha	projéctil/míssil/projétil/marco/ponto
flor	angiosperma/angiospérmica
flora	colecção/coleção/aglomeração/acúmulo/organismo/ser
floresta	chão/locação/relevo/localização/solo/terra/ponto/lugar/bioma/biomas
florestas	chão/relevo/solo/terra/bioma/biomas
fluido	matéria/substância
flutuação	alteração/modificação/variação/mudança/irregularidade
foca	pinnipedia/pinípedes
fofoca	bisbilhotice/bisbolhetice/contas/reporte/relato/relatório
fogo	criticismo/crítica/julgamento/lareira/combustão/chaminé
foguete	viatura/veículo
foguetes	viatura/veículo
folha	folhagem/papel/jornalismo/imprensa/órgão/jornal
folhagem	órgão
folhas	papel
folheto	livro
fome	ausência/escassez/deficiência/falta/carência
fonte	comunicador/lugar
formando	não-graduado
formatação	informação
formato	informação
formação	espaçamento/posição/atividade/ocupação/herança
formiga	himenópteros
formigas	himenópteros
formigão	piso
formulário	documentação/documento
fornecedor	mercador/negociante/comerciante
fornecimento	atividade/ocupação
foro	documentação/documento/reunião
forragem	forragens
fortuna	fenómeno/fenômeno/tesouro
força	causador/agressão/hostilidade/causa/intensidade/atributo/poder/propriedade
fossil	resto
fosso	oco/buraco
foto	afiguração/representação/imagem/figura/ilustração/desenho
fotografia	afiguração/retrato/representação/imagem/figura/ilustração/desenho
fotógrafa	artista
fotógrafo	artista
fracassado	desafortunado/desventurado/infortunado
fractura	traumatismo/dano/machucado/lesão/mal
frade	religioso
fragmento	tomo/secção/porção/pedaço/parte
frango	galinha
franquia	empresa
fraqueza	atributo/propriedade
frasco	vasilhame/vasilha/vaso
frase	excerto/extrato/trecho/passagem
fratura	traumatismo/dano/machucado/lesão/mal
fraude	astúcia/artimanha
freguês	consumidor
frei	religioso
freio	restrição/limitação
freira	religioso
freiras	religioso
freneticidade	escândalo/tumulto
frente	liderança
frequencia	velocidade/ritmo
frequência	velocidade/ritmo
freqüência	velocidade/ritmo
fresta	vão/abertura/fenda
fretamento	documentação/documento
frete	transportação/transporte/expedição
fricção	recontro/confronto/conflito
frigoríficos	frigorifico/frigorífico/geladeira/frigorífico/refrigerador
frio	temperatura
fronteira	fronteiras/borda/limite
frontispício	frente
frustação	deceção/desapontamento/decepção
frustração	deceção/desapontamento/decepção/irritação
fruta	fruto/semente
fruto	fruta
fuga	escapatória/escape
fumo	aerossol/aerossóis/neblina
fundação	pressuposição/suposição/hipótese/conexão/relação
fundo	vista/panorama/face/lado/divisa/moeda/dinheiro
fundos	activos/ativos/bens/recursos/ativo
funeral	cerimónia/enterro/cerimônia/festa
função	utilidade/atividade/ocupação
fura-greve	trabalhador
furadeira	implemento/instrumento/ferramenta
fureca	artefato
furna	formação
furto	crime
futuro	tempo
fábrica	usina/planta
fèbre	sintoma
fé	convicção/crença/amizade/opinião
féretro	caixa
féria	lazer/ócio
férias	lazer/ócio
fígado	víscera
física	ciência
fórmula	procedimento/processo/afirmação/declaração
fórum	reunião
fósforo	acendedor/encendedor/isqueiro
fósseis	resto
fóssil	resto
fúria	zanga/ira/cólera/raiva
gadget	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
gado	mamífero/bovinos
gafe	fiasco/bobagem
galanteio	súplica/petição/apelo
galardão	dádiva/brinde/dom/doação/presente
galera	população/gente/pessoal/povo
galeria	aposento/quarto/sala
galho	caule/tronco
galinha	frango/galo
galo	galinha
galopante	turista/viajante
galopeador	turista/viajante
galáxia	colecção/coleção/aglomeração/acúmulo
gana	anseio
gancho	implemento/instrumento/ferramenta
gangorra	metro
ganhador	competidor/contendor
garantia	afirmação/declaração
garfo	faqueiro/talheres
garoa	chuva
garota	mulher/amado/fêmea/amante
garotinha	fêmea
garoto	varão/macho/homem
garrafa	vasilhame/vasilha/vaso
gasolina	carburante/combustível/hidrocarboneto
gato	felídeos/felino
gaveta	contentor/contêiner/recipiente
gaveteiro	alfaia/movéis/mobília/mobiliário/móvel
geladeira	frigorifico/frigorífico/frigoríficos/frigorífico/refrigerador
gelatina	substância
geleca	matéria/substância
gelo	cristal
geléia	conservas
gema	joalharia/joalheria/jóia/cristal
gene	seqüência/sequência
genealidade	inteligência
general	general-de-exército/almirante/brigadeiro
genes	seqüência/sequência
gente	população/pessoal/povo/agrupação/conjunto/grupo
gentileza	delicadeza/amabilidade/bondade
geração	população/gente/pessoal/povo
gerente	líder/administrador/cabeça/chefe/liderança/responsável
gesso	esparadrapo/penso/atadura/ligadura
gesto	mudança/gestos
gestor	administrador/gerente
ghost-writer	autor/escritor
ghostwriter	autor/escritor
ginja	drupa/fruta
gládio	armamento/arma
glória	honra/aplauso/aprovação
goleiro	futebolista/jogador
golfinho	odontoceti/odontocetos
gordura	lipido/lipídio/lípido/lípidos
gorjeta	benefício
gosma	matéria/substância
gosto	sabor
gota	esfera
governador	político
gracejo	comentário/observação/humor
